Emma, Pearson Grade:111 
Julia, Goodwin Grade:140 
Rich, Barton Grade:142 
Lillie, Horton Grade:145 
George, Newman Grade:147 
Anna, Gates Grade:152 
Charles, Wagner Grade:160 
Ada, Neal Grade:161 
Louise, Cummings Grade:163 
Sam, Sawyer Grade:165 
Alice, Robbins Grade:167 
Sarah, Stafford Grade:170 
Lucy, Reid Grade:176 
Clara, Kimball Grade:176 
Victor, Woodward Grade:177 
Sami, Briggs Grade:177 
Grover, Kelley Grade:178 
Lena, Bacon Grade:184 
Tyson, Wade Grade:189 
Andrew, Dyer Grade:190 
Joseph, Abbott Grade:190 
Lee, Sparks Grade:193 
Paul, Watkins Grade:193 
Elizabeth, Frost Grade:195 
Will, Owens Grade:197 
James, Bush Grade:199 
Jordan, Mullins Grade:205 

